state,x,y
Andhra Pradesh,-105.0,-134.0
Arunachal Pradesh,211.0,118.0
Assam,155.0,75.0
Bihar,38.0,58.0
Chhattisgarh,-40.0,-21.0
Delhi,-100.0,110.0
Goa,-183.0,-130.0
Gujarat,-215.0,15.0
Haryana,-109.0,134.0
Himachal Pradesh,-91.0,185.0
Jammu & Kashmir,-104.0,238.0
Jharkhand,20.0,17.0
Karnataka,-170.0,-155.0
Kerala,-165.0,-219.0
Madhya Pradesh,-115.0,15.0
Maharashtra,-150.0,-49.0
Manipur,184.0,42.0
Meghalaya,129.0,51.0
Mizoram,169.0,11.0
Nagaland,197.0,69.0
Odisha,13.0,-38.0
Punjab,-126.0,166.0
Rajasthan,-166.0,91.0
Sikkim,89.0,101.0
Tamilnadu,-120.0,-215.0
Telangana,-100.0,-90.0
Tripura,134.0,19.0
Uttar Pradesh,-47.0,84.0
Uttarakhand,-52.0,149.0
West Bengal,71.0,7.0
